epoch,unet,albunet
0,0.8982521891593933,0.8751203417778015
1,0.8622828125953674,0.7802625298500061
2,0.8525863289833069,0.7658821940422058
3,0.816867470741272,0.7317118048667908
4,0.7780727744102478,0.7171216607093811
5,0.7547698616981506,0.700120747089386
6,0.7180803418159485,0.7025796175003052
7,0.6849876046180725,0.6689737439155579
8,0.6730754971504211,0.6342516541481018
9,0.6761383414268494,0.6339172720909119
10,0.6880450844764711,0.6482332348823547
11,0.6743385791778564,0.6201425194740295
12,0.6555768251419067,0.6071077585220337
13,0.6487439870834351,0.6013137102127075
14,0.6429613828659058,0.5883700847625732
15,0.6420729160308838,0.5884579420089722
16,0.6286778450012207,0.5747764110565186
17,0.6199776530265808,0.5677720308303833
18,0.6252118945121765,0.5524265170097351
19,0.6168293356895447,0.5444672107696533
20,0.6137591004371643,0.5480203032493591
21,0.603985607624054,0.5585374236106873
22,0.6001874208450317,0.5238787531852722
23,0.601027250289917,0.5242140889167786
24,0.5961161851882935,0.5255247950553894
25,0.5885217189788818,0.5211970210075378
26,0.5834903717041016,0.5196496248245239
27,0.5846605896949768,0.5057648420333862
28,0.5636657476425171,0.5055434703826904
29,0.5984619855880737,0.4969603419303894
30,0.5882521271705627,0.4862222075462341
31,0.579843282699585,0.4987112283706665
32,0.57420814037323,0.49195596575737
33,0.5703273415565491,0.4903416335582733
34,0.5661062598228455,0.483161062002182
35,0.5687995553016663,0.481377512216568
36,0.562479555606842,0.473915159702301
37,0.5485634207725525,0.4676941335201264
38,0.5726818442344666,0.4725960493087769
39,0.5591588020324707,0.4693217277526856
40,0.5435041189193726,0.4627631902694702
41,0.5544610619544983,0.4564302563667298
42,0.5418339371681213,0.4682910442352295
43,0.5496060252189636,0.453457921743393
44,0.5408881306648254,0.4641475081443786
45,0.5481278300285339,0.4490854144096375
46,0.5379730463027954,0.4496397078037262
47,0.5464808344841003,0.4576974213123322
48,0.5253697037696838,0.4497673511505127
49,0.538207471370697,0.4341683089733124
